Messier #,NGC #,Kind,Type,Distance (LY),Size( ' ),Apparent Magnitude,R.A. ( h m ),Dec. ( ° ' ),Constellation,Season,Discoverer,year,Remarks
1,1952,Planetary Nebula,VI,7200,6,8.4,05 34.5,+22 01,Tau,Wi.,Bevis,1731,Crab nebula
2,7089,Globular Cluster,II,52000,8.2,6.3,21 33.5,-00 50,Aqr,Au.,Maraldi,1746,
3,5272,Globular Cluster,VI,45000,19,6.4,13 42.2,+28 23,CVn,Sp.,Messier,1764,
4,6121,Globular Cluster,IX,7000,14,6.4,16 23.7,+26 31,Sco,Su.,de Cheseaux,1745,
5,5904,Globular Cluster,V,27000,12.7,6.2,15 18.5,+02 05,Ser,Su.,Kirch,1702,
6,6405,Open Cluster,e,1850,25,5.3,17 40.1,-32 13,Sco,Su.,de Cheseaux,1745,Butterfly cluster
7,6475,Open Cluster,e,1230,60,3.2,17 53.9,-34 49,Sco,Su.,Ptolemy,138?,Ptolemy's cluster
8,6523,Diffuse Nebula,,2500,60,6,18 03.2,-24 23,Sgr,Su.,Flamsteed,1680,Lagoon nebula
9,6333,Globular Cluster,VIII,26000,6,7.3,17 19.1,-18 31,Oph,Su.,Messier,1764,
10,6254,Globular Cluster,VII,16000,8.2,6.7,16 57.1,-04 07,Oph,Su.,Messier,1764,
11,6705,Open Cluster,g,5670,10,6.3,18 51.1,-06 16,Sct,Su.,Kirch,1681,Wild duck cluster
12,6218,Globular Cluster,IX,19000,9.3,6.6,16 47.2,-01 57,Oph,Su.,Messier,1764,
13,6205,Globular Cluster,V,22000,10,5.7,16 41.7,+36 27,Her,Su.,Halley,1714,The Hercules cluster
14,6402,Globular Cluster,VIII,23000,3,7.7,17 37.6,-03 15,Oph,Su.,Messier,1764,
15,7078,Globular Cluster,IV,49000,7.4,6,21 30.0,+12 10,Peg,Au.,Maraldi,1746,
16,6611,Diffuse Nebula,,4600,35,6.4,18 18.8,-13 47,Ser,Su.,de Cheseaux,1745,Eagle nebula
17,6618,Diffuse Nebula,,3300,46,7,18 20.8,-16 11,Sgr,Su.,de Cheseaux,1745,Omega nebula
18,6613,Open Cluster,d,4900,9,7.5,18 19.9,-17 08,Sgr,Su.,Messier,1764,
19,6273,Globular Cluster,VIII,22000,4.3,6.6,17 02.6,-26 15,Oph,Su.,Messier,1764,
20,6514,Diffuse Nebula,,2200,29,9,18 01.9,-23 02,Sgr,Su.,Messier,1764,Trifid nebula
21,6531,Open Cluster,d,2960,10,6.5,18 04.7,-22 30,Sgr,Su.,Messier,1764,
22,6656,Globular Cluster,VII,10000,17.3,5.9,18 36.4,-23 55,Sgr,Su.,Ihle,1665,
23,6494,Open Cluster,e,4490,25,6.9,17 56.9,-19 01,Sgr,Su.,Messier,1764,
24,6603,Star Cloud,-,16000,90,4.6,18 18.4,-18 25,Sgr,Su.,Messier,1764,Star cloud
25,IC4725,Open Cluster,d,1790,40,6.5,18 31.7,-19 15,Sgr,Su.,de Cheseaux,1745,
26,6694,Open Cluster,f,4900,9,9.3,18 45.3,-09 24,Sct,Su.,Messier,1764,
27,6853,Planetary Nebula,IIIa,970,8,7.6,19 59.6,+22 43,Vul,Su.,Messier,1764,Dumb-bell nebula
28,6626,Globular Cluster,IV,15000,4.7,7.3,18 24.6,-24 52,Sgr,Su.,Messier,1764,
29,6913,Open Cluster,d,3100,12,7.1,20 23.9,+38 32,Cyg,Su.,Messier,1764,
30,7099,Globular Cluster,V,41000,5.7,8.4,21 40.3,-23 11,Cap,Au.,Messier,1764,
31,224,Galaxy,Sb,2300000,109,4.8,00 42.7,+41 16,And,Au.,?,Ancient,Andromeda galaxy
32,221,Galaxy,E2,2300000,8.7,8.7,00 42.7,+40 52,And,Au.,le Gentil,1749,Satellite galaxy of M31
33,598,Galaxy,Scd,2600000,41,6.7,01 33.8,+30 39,Tri,Au.,Messier,1764,
34,1039,Open Cluster,d,1400,18,5.5,02 42.0,+42 47,Per,Au.,Messier,1764,
35,2168,Open Cluster,e,2570,40,5.3,06 08.9,+24 20,Gem,Wi.,de Cheseaux,1745,
36,1960,Open Cluster,f,3780,12,6.3,05 35.3,+34 09,Aur,Wi.,le Gentil,1749,
37,2099,Open Cluster,f,4720,20,6.2,05 52.4,+32 33,Aur,Wi.,Messier,1764,
38,1912,Open Cluster,e,3580,20,7.4,05 28.7,+35 50,Aur,Wi.,le Gentil,1749,
39,7092,Open Cluster,e,810,30,5.2,21 32.2,+48 26,Cyg,Su.,Messier,1764,
40,-,,,,,,12 23.4,+58 03,UMa,Sp.,,,(Unidentified)
41,2287,Open Cluster,e,2470,30,5,06 47.0,-20 44,CMa,Wi.,Flamsteed,1702,
42,1976,Diffuse Nebula,,1300,66,4,05 35.4,-05 23,Ori,Wi.,Peiresc,1610,The Orion nebula
43,1982,Diffuse Nebula,,1300,20,9,05 35.6,-05 16,Ori,Wi.,de Mairan,1731,The Orion nebula
44,2632,Open Cluster,d,520,95,3.7,08 40.3,+19 49,Cnc,Sp.,?,Ancient,Praesepe
45,Mel. 22,Open Cluster,c,410,100,1.4,03 47.1,+24 07,Tau,Wi.,?,Ancient,Pleiades
46,2437,Open Cluster,f,5930,24,6,07 41.8,-14 49,Pup,Wi.,Messier,1771,
47,2422,Open Cluster,d,3740,25,4.5,07 36.6,-14 29,Pup,Wi.,Messier,1771,
48,2548,Open Cluster,f,3090,30,5.3,08 13.7,-05 47,Hya,Sp.,Messier,1771,
49,4472,Galaxy,E4,41000000,2.8,8.6,12 29.7,+07 59,Vir,Sp.,Messier,1771,
50,2323,Open Cluster,e,2600,16,6.9,07 03.0,-08 20,Mon,Wi.,Messier,1772,
51,5194,Galaxy,Sbc,25100000,11.2,8.1,13 29.9,+47 12,CVn,Sp.,Messier,1773,Whirlpool galaxy
52,7654,Open Cluster,e,3810,12,7.3,23 24.2,+61 35,Cas,Au.,Messier,1774,
53,5024,Globular Cluster,V,65000,10,7.6,13 12.9,+18 10,Com,Sp.,Bode,1775,
54,6715,Globular Cluster,III,49000,2.1,7.3,18 55.2,-30 28,Sgr,Su.,Messier,1778,
55,6809,Globular Cluster,XI,19000,10,7.6,19 40.1,-30 56,Sgr,Su.,Lacaille,1751,
56,6779,Globular Cluster,X,34000,5,8.2,19 16.6,+30 10,Lyr,Su.,Messier,1779,
57,6720,Planetary Nebula,IV,2150,1.2,9.3,18 53.6,+33 02,Lyr,Su.,Darquier,1779,Ring nebula
58,4579,Galaxy,SBc,68000000,4.4,9.2,12 37.5,+11 49,Vir,Sp.,Messier,1779,
59,4621,Galaxy,E3,60000000,2.7,9.6,12 42.0,+11 39,Vir,Sp.,Koehler,1779,
60,4649,Galaxy,E1,60000000,2,8.9,12 43.6,+11 33,Vir,Sp.,Koehler,1779,
61,4303,Galaxy,Sc,60000000,5.6,10.1,12 22.0,+04 28,Vir,Sp.,Oriani,1779,
62,6266,Globular Cluster,IV,22000,4.3,6.6,17 01.3,-30 07,Oph,Su.,Messier,1771,
63,5055,Galaxy,Sbc,23800000,12.6,9.5,13 15.8,+42 02,CVn,Sp.,Mechain,1779,Sunflower galaxy
64,4826,Galaxy,Sab,13400000,10,8.8,12 56.8,+21 41,Com,Sp.,Bode,1779,Black-eye galaxy
65,3623,Galaxy,Sb,27000000,7.8,9.3,11 18.9,+13 06,Leo,Sp.,Mechain,1780,
