Test,Display,TestNumber,Trial,Subject,Response,TrueValue
"Veritcal Distance, Aligned",1,1,B,1,0.6,0.6
"Veritcal Distance, Aligned",1,1,B,2,0.55,0.6
"Veritcal Distance, Aligned",1,1,B,3,0.7,0.6
"Veritcal Distance, Aligned",1,1,B,4,0.6,0.6
"Veritcal Distance, Aligned",1,1,B,5,0.65,0.6
"Veritcal Distance, Aligned",1,1,B,6,0.6,0.6
"Veritcal Distance, Aligned",1,1,B,7,0.5,0.6
"Veritcal Distance, Aligned",1,1,B,8,0.65,0.6
"Veritcal Distance, Aligned",1,1,B,9,0.5,0.6
"Veritcal Distance, Aligned",1,1,B,10,0.65,0.6
"Veritcal Distance, Aligned",1,1,B,11,0.6,0.6
"Veritcal Distance, Aligned",1,1,B,12,0.5,0.6
"Veritcal Distance, Aligned",1,1,B,13,0.7,0.6
"Veritcal Distance, Aligned",1,1,B,14,0.6,0.6
"Veritcal Distance, Aligned",1,1,B,15,0.6,0.6
"Veritcal Distance, Aligned",1,1,B,16,0.6,0.6
"Veritcal Distance, Aligned",1,1,B,17,0.6,0.6
"Veritcal Distance, Aligned",1,1,B,18,0.6,0.6
"Veritcal Distance, Aligned",1,1,B,19,0.6,0.6
"Veritcal Distance, Aligned",1,1,B,20,0.66,0.6
"Veritcal Distance, Aligned",1,1,B,21,0.6,0.6
"Veritcal Distance, Aligned",1,1,B,22,0.55,0.6
"Veritcal Distance, Aligned",1,1,B,23,0.6,0.6
"Veritcal Distance, Aligned",1,1,B,24,0.7,0.6
"Veritcal Distance, Aligned",1,1,B,25,0.6,0.6
"Veritcal Distance, Aligned",1,1,B,26,0.55,0.6
"Veritcal Distance, Aligned",1,1,B,27,0.6,0.6
"Veritcal Distance, Aligned",1,1,B,28,0.6,0.6
"Veritcal Distance, Aligned",1,1,B,29,0.6,0.6
"Veritcal Distance, Aligned",1,1,B,30,0.6,0.6
"Veritcal Distance, Aligned",1,1,B,31,0.5,0.6
"Veritcal Distance, Aligned",1,1,B,32,0.6,0.6
"Veritcal Distance, Aligned",1,1,B,33,0.6,0.6
"Veritcal Distance, Aligned",1,1,B,34,0.6,0.6
"Veritcal Distance, Aligned",1,1,B,35,0.5,0.6
"Veritcal Distance, Aligned",1,1,B,36,0.65,0.6
"Veritcal Distance, Aligned",1,1,B,37,0.6,0.6
"Veritcal Distance, Aligned",1,1,B,38,0.6,0.6
"Veritcal Distance, Aligned",1,1,B,39,0.58,0.6
"Veritcal Distance, Aligned",1,1,B,40,0.5,0.6
"Veritcal Distance, Aligned",1,1,B,41,0.55,0.6
"Veritcal Distance, Aligned",1,1,B,42,0.6,0.6
"Veritcal Distance, Aligned",1,1,B,43,0.55,0.6
"Veritcal Distance, Aligned",1,1,B,44,0.6,0.6
"Veritcal Distance, Aligned",1,1,B,45,0.6,0.6
"Veritcal Distance, Aligned",1,1,B,46,0.5,0.6
"Veritcal Distance, Aligned",1,1,B,47,0.6,0.6
"Veritcal Distance, Aligned",1,1,B,48,0.6,0.6
"Veritcal Distance, Aligned",1,1,B,49,0.65,0.6
"Veritcal Distance, Aligned",1,1,B,50,0.65,0.6
"Veritcal Distance, Aligned",1,1,B,51,0.6,0.6
"Veritcal Distance, Aligned",1,1,B,52,0.6,0.6
"Veritcal Distance, Aligned",1,1,B,53,0.6,0.6
"Veritcal Distance, Aligned",1,1,B,54,0.66,0.6
"Veritcal Distance, Aligned",1,1,B,55,0.6,0.6
"Veritcal Distance, Aligned",1,1,B,56,0.66,0.6
"Veritcal Distance, Aligned",1,1,B,57,0.6,0.6
"Veritcal Distance, Aligned",1,1,B,58,0.55,0.6
"Veritcal Distance, Aligned",1,1,B,59,0.6,0.6
