Station,Date,Time,WL,Sigma,I,L
9431647,1/1/2003,0:00,-0.226,0.128,0,0
9431647,1/1/2003,1:00,-0.115,0.121,0,0
9431647,1/1/2003,2:00,0.213,0.134,0,0
9431647,1/1/2003,3:00,0.741,0.148,0,0
9431647,1/1/2003,4:00,1.19,0.136,0,0
9431647,1/1/2003,5:00,1.686,0.208,0,0
9431647,1/1/2003,6:00,1.942,0.137,0,0
9431647,1/1/2003,7:00,2.071,0.207,0,0
9431647,1/1/2003,8:00,1.964,0.202,0,0
9431647,1/1/2003,9:00,1.718,0.16,0,0
9431647,1/1/2003,10:00,1.491,0.138,0,0
9431647,1/1/2003,11:00,1.37,0.126,0,0
9431647,1/1/2003,12:00,1.287,0.178,0,0
9431647,1/1/2003,13:00,1.464,0.18,0,0
9431647,1/1/2003,14:00,1.751,0.199,0,0
9431647,1/1/2003,15:00,2.162,0.224,0,0
9431647,1/1/2003,16:00,2.558,0.2,0,0
9431647,1/1/2003,17:00,2.848,0.175,0,0
9431647,1/1/2003,18:00,2.926,0.18,0,0
9431647,1/1/2003,19:00,2.632,0.229,0,0
9431647,1/1/2003,20:00,2.254,0.16,0,0
9431647,1/1/2003,21:00,1.622,0.119,0,0
9431647,1/1/2003,22:00,0.954,0.133,0,0
9431647,1/1/2003,23:00,0.327,0.146,0,0
9431647,1/2/2003,0:00,-0.098,0.116,0,0
9431647,1/2/2003,1:00,-0.261,0.133,0,0
9431647,1/2/2003,2:00,-0.083,0.164,0,0
9431647,1/2/2003,3:00,0.25,0.149,0,0
9431647,1/2/2003,4:00,0.778,0.146,0,0
9431647,1/2/2003,5:00,1.445,0.215,0,0
9431647,1/2/2003,6:00,1.902,0.22,0,0
9431647,1/2/2003,7:00,2.161,0.234,0,0
9431647,1/2/2003,8:00,2.304,0.214,0,0
9431647,1/2/2003,9:00,2.189,0.225,0,0
9431647,1/2/2003,10:00,1.8,0.195,0,0
9431647,1/2/2003,11:00,1.614,0.234,0,0
9431647,1/2/2003,12:00,1.441,0.21,0,0
9431647,1/2/2003,13:00,1.472,0.231,0,0
9431647,1/2/2003,14:00,1.483,0.2,0,0
9431647,1/2/2003,15:00,1.857,0.236,0,0
9431647,1/2/2003,16:00,2.266,0.241,0,0
9431647,1/2/2003,17:00,2.716,0.165,0,0
9431647,1/2/2003,18:00,2.962,0.242,0,0
9431647,1/2/2003,19:00,2.953,0.22,0,0
9431647,1/2/2003,20:00,2.7,0.227,0,0
9431647,1/2/2003,21:00,2.181,0.234,0,0
9431647,1/2/2003,22:00,1.515,0.219,0,0
9431647,1/2/2003,23:00,0.781,0.197,0,0
9431647,1/3/2003,0:00,0.198,0.203,0,0
9431647,1/3/2003,1:00,-0.106,0.161,0,0
9431647,1/3/2003,2:00,-0.304,0.199,0,0
9431647,1/3/2003,3:00,-0.068,0.204,0,0
9431647,1/3/2003,4:00,0.355,0.233,0,0
9431647,1/3/2003,5:00,0.977,0.263,0,0
9431647,1/3/2003,6:00,1.511,0.29,0,0
9431647,1/3/2003,7:00,2.011,0.176,0,0
9431647,1/3/2003,8:00,2.28,0.207,0,0
9431647,1/3/2003,9:00,2.261,0.184,0,0
9431647,1/3/2003,10:00,2.027,0,0,
9431647,1/3/2003,11:00,1.734,0.173,0,0
9431647,1/3/2003,12:00,1.484,0.154,0,0
9431647,1/3/2003,13:00,1.335,0.178,0,0
9431647,1/3/2003,14:00,1.306,0.196,0,0
9431647,1/3/2003,15:00,1.488,0.234,0,0
9431647,1/3/2003,16:00,1.848,0.221,0,0
9431647,1/3/2003,17:00,2.286,0.253,0,0
9431647,1/3/2003,18:00,2.701,0.216,0,0
9431647,1/3/2003,19:00,2.863,0.212,0,0
9431647,1/3/2003,20:00,2.818,0,0,
9431647,1/3/2003,21:00,2.432,0.216,0,0
9431647,1/3/2003,22:00,1.95,0.21,0,0
9431647,1/3/2003,23:00,1.18,0.135,0,0
9431647,1/4/2003,0:00,0.597,0.163,0,0
9431647,1/4/2003,1:00,-0.012,0.131,0,0
9431647,1/4/2003,2:00,-0.355,0.123,0,0
9431647,1/4/2003,3:00,-0.291,0.157,0,0
9431647,1/4/2003,4:00,-0.09,0.2,0,0
9431647,1/4/2003,5:00,0.486,0.16,0,0
9431647,1/4/2003,6:00,1.012,0.227,0,0
9431647,1/4/2003,7:00,1.66,0.149,0,0
9431647,1/4/2003,8:00,2.084,0.242,0,0
9431647,1/4/2003,9:00,2.25,0.199,0,0
9431647,1/4/2003,10:00,2.175,0.237,0,0
9431647,1/4/2003,11:00,1.991,0.168,0,0
9431647,1/4/2003,12:00,1.845,0.187,0,0
9431647,1/4/2003,13:00,1.506,0.191,0,0
9431647,1/4/2003,14:00,1.451,0.178,0,0
9431647,1/4/2003,15:00,1.446,0.162,0,0
9431647,1/4/2003,16:00,1.653,0.237,0,0
9431647,1/4/2003,17:00,1.958,0.197,0,0
9431647,1/4/2003,18:00,2.344,0,0,
9431647,1/4/2003,19:00,2.589,0.177,0,0
9431647,1/4/2003,20:00,2.745,0.21,0,0
9431647,1/4/2003,21:00,2.619,0.208,0,0
9431647,1/4/2003,22:00,2.174,0.209,0,0
9431647,1/4/2003,23:00,1.667,0.169,0,0
9431647,1/5/2003,0:00,0.961,0.141,0,0
9431647,1/5/2003,1:00,0.315,0.192,0,0
9431647,1/5/2003,2:00,-0.181,0.137,0,0
9431647,1/5/2003,3:00,-0.39,0.174,0,0
9431647,1/5/2003,4:00,-0.353,0.172,0,0
9431647,1/5/2003,5:00,-0.045,0.202,0,0
9431647,1/5/2003,6:00,0.505,0.173,0,0
